condition,image_variant,text_variant,group_index,colorless_caption_id,structure_id,template_id,is_canonical,regime,pattern_id,motif,orientation,composition,symmetry,raw_query_count,structural_hit_at_1,structural_hit_at_5,structural_fractional_recall_at_5,structural_mrr,structural_ndcg_at_10,best_relevant_margin
grayscale_image_full_caption,grayscale,full_caption,23,SCAP-EFDC071AF166C8C3-TPL_04,STR-EFDC071AF166C8C3,TPL_04,false,base_pattern,grid_reticular,cuadrícula geométrica,bidireccional,reticular,repetitiva,7,0.571428571429,0.714285714286,0.306122448980,0.667658730159,0.504461271659,0.001765549183
grayscale_image_full_caption,grayscale,full_caption,24,SCAP-EFDC071AF166C8C3-TPL_05,STR-EFDC071AF166C8C3,TPL_05,false,base_pattern,grid_reticular,cuadrícula geométrica,bidireccional,reticular,repetitiva,7,0.000000000000,0.428571428571,0.081632653061,0.166415261757,0.106460542037,-0.020154454878
grayscale_image_full_caption,grayscale,full_caption,25,SCAP-7193EBD1DE12399C-TPL_01,STR-7193EBD1DE12399C,TPL_01,true,base_pattern,mixed_asymmetric,motivos geométricos combinados,mixta,mixta,asimétrica,7,0.428571428571,0.571428571429,0.183673469388,0.537263390205,0.283829784111,-0.006178796291
grayscale_image_full_caption,grayscale,full_caption,26,SCAP-7193EBD1DE12399C-TPL_02,STR-7193EBD1DE12399C,TPL_02,false,base_pattern,mixed_asymmetric,motivos geométricos combinados,mixta,mixta,asimétrica,7,0.857142857143,1.000000000000,0.571428571429,0.928571428571,0.857123224884,0.013181154217
grayscale_image_full_caption,grayscale,full_caption,27,SCAP-7193EBD1DE12399C-TPL_03,STR-7193EBD1DE12399C,TPL_03,false,base_pattern,mixed_asymmetric,motivos geométricos combinados,mixta,mixta,asimétrica,7,0.857142857143,1.000000000000,0.551020408163,0.928571428571,0.814736239702,0.011414183038
grayscale_image_full_caption,grayscale,full_caption,28,SCAP-7193EBD1DE12399C-TPL_04,STR-7193EBD1DE12399C,TPL_04,false,base_pattern,mixed_asymmetric,motivos geométricos combinados,mixta,mixta,asimétrica,7,0.285714285714,0.428571428571,0.183673469388,0.379648526077,0.313695580762,-0.013862167086
grayscale_image_full_caption,grayscale,full_caption,29,SCAP-7193EBD1DE12399C-TPL_05,STR-7193EBD1DE12399C,TPL_05,false,base_pattern,mixed_asymmetric,motivos geométricos combinados,mixta,mixta,asimétrica,7,0.285714285714,0.571428571429,0.183673469388,0.391921768707,0.278050372646,-0.008996146066
grayscale_image_full_caption,grayscale,full_caption,30,SCAP-DBE3E9729199A70D-TPL_01,STR-DBE3E9729199A70D,TPL_01,true,heldout_pattern,chevrons_diagonal,chevrones,diagonal,bandas,repetitiva,7,0.000000000000,0.000000000000,0.000000000000,0.111277611278,0.051088907746,-0.013836483870
grayscale_image_full_caption,grayscale,full_caption,31,SCAP-DBE3E9729199A70D-TPL_02,STR-DBE3E9729199A70D,TPL_02,false,heldout_pattern,chevrons_diagonal,chevrones,diagonal,bandas,repetitiva,7,0.000000000000,0.000000000000,0.000000000000,0.032206271397,0.000000000000,-0.074375594301
grayscale_image_full_caption,grayscale,full_caption,32,SCAP-DBE3E9729199A70D-TPL_03,STR-DBE3E9729199A70D,TPL_03,false,heldout_pattern,chevrons_diagonal,chevrones,diagonal,bandas,repetitiva,7,0.000000000000,0.000000000000,0.000000000000,0.065034881363,0.000000000000,-0.054518744349
