comparison_id,minuend,subtrahend,group_index,colorless_caption_id,structure_id,template_id,is_canonical,regime,delta_structural_hit_at_1,delta_structural_hit_at_5,delta_structural_fractional_recall_at_5,delta_structural_mrr,delta_structural_ndcg_at_10,delta_best_relevant_margin
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,3,SCAP-A3FE31524DCA0243-TPL_04,STR-A3FE31524DCA0243,TPL_04,false,base_pattern,-0.428571428571,-1.000000000000,-0.142857142857,-0.523809523810,-0.177205613602,-0.009602235896
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,4,SCAP-A3FE31524DCA0243-TPL_05,STR-A3FE31524DCA0243,TPL_05,false,base_pattern,-0.714285714286,0.000000000000,0.142857142857,-0.333333333333,0.263120026168,-0.008212068251
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,5,SCAP-390DD4719A974C7E-TPL_01,STR-390DD4719A974C7E,TPL_01,true,base_pattern,-0.142857142857,-1.000000000000,-0.142857142857,-0.457142857142,-0.288922995172,-0.022757513182
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,6,SCAP-390DD4719A974C7E-TPL_02,STR-390DD4719A974C7E,TPL_02,false,base_pattern,0.000000000000,-1.000000000000,-0.142857142857,-0.277950310558,-0.145763944951,-0.035354793072
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,7,SCAP-390DD4719A974C7E-TPL_03,STR-390DD4719A974C7E,TPL_03,false,base_pattern,-0.142857142857,-1.000000000000,-0.142857142857,-0.330158730158,-0.158535739808,-0.011261454650
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,8,SCAP-390DD4719A974C7E-TPL_04,STR-390DD4719A974C7E,TPL_04,false,base_pattern,0.000000000000,-1.000000000000,-0.142857142857,-0.262980030722,-0.151420862659,-0.019381857344
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,9,SCAP-390DD4719A974C7E-TPL_05,STR-390DD4719A974C7E,TPL_05,false,base_pattern,-0.428571428571,-1.000000000000,-0.163265306122,-0.464285714285,-0.129364813917,-0.002876443522
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,10,SCAP-83B17E3514D80A83-TPL_01,STR-83B17E3514D80A83,TPL_01,true,base_pattern,0.142857142857,0.000000000000,0.530612244898,0.071428571429,0.605758738101,0.006608056170
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,11,SCAP-83B17E3514D80A83-TPL_02,STR-83B17E3514D80A83,TPL_02,false,base_pattern,-0.714285714286,0.000000000000,0.102040816326,-0.523809523810,0.147554840313,-0.018318125180
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,12,SCAP-83B17E3514D80A83-TPL_03,STR-83B17E3514D80A83,TPL_03,false,base_pattern,-0.857142857143,0.000000000000,0.102040816326,-0.678571428571,0.121970253353,-0.022813665016
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,13,SCAP-83B17E3514D80A83-TPL_04,STR-83B17E3514D80A83,TPL_04,false,base_pattern,-1.000000000000,0.000000000000,0.081632653061,-0.500000000000,0.031694434472,-0.037114967192
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,14,SCAP-83B17E3514D80A83-TPL_05,STR-83B17E3514D80A83,TPL_05,false,base_pattern,0.142857142857,0.000000000000,0.530612244898,0.095238095238,0.557348479816,0.003669189555
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,15,SCAP-32D96D397FD7BD30-TPL_01,STR-32D96D397FD7BD30,TPL_01,true,base_pattern,0.000000000000,0.428571428571,0.061224489796,0.291496598639,0.005570334013,0.015537285379
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,16,SCAP-32D96D397FD7BD30-TPL_02,STR-32D96D397FD7BD30,TPL_02,false,base_pattern,0.000000000000,-0.714285714286,-0.102040816326,-0.121825396825,0.108931783411,0.001049007688
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,17,SCAP-32D96D397FD7BD30-TPL_03,STR-32D96D397FD7BD30,TPL_03,false,base_pattern,0.000000000000,-1.000000000000,-0.142857142857,-0.260714285714,0.064706392870,0.007447059665
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,18,SCAP-32D96D397FD7BD30-TPL_04,STR-32D96D397FD7BD30,TPL_04,false,base_pattern,0.000000000000,0.000000000000,0.285714285714,0.271428571429,0.256827161150,0.026682195919
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,19,SCAP-32D96D397FD7BD30-TPL_05,STR-32D96D397FD7BD30,TPL_05,false,base_pattern,0.000000000000,0.142857142857,0.020408163265,0.226190476191,0.195117084678,0.014960352864
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,20,SCAP-EFDC071AF166C8C3-TPL_01,STR-EFDC071AF166C8C3,TPL_01,true,base_pattern,0.000000000000,-0.857142857143,-0.122448979592,-0.260884353741,-0.146530084513,0.005580448679
